edad,ingreso_anual,saldo_cuenta,meses_empleado,ratio_deuda,historial_pagos,productos_banco,tiene_tarjeta,default
0.0892857142857143,0.26001748957228116,0.0,0.46972860125260957,0.35066371681415925,1,6,0,0
0.7857142857142856,0.04701386259214043,0.17655143135533216,0.5073068893528183,0.1113938053097345,0,1,1,0
0.6607142857142857,0.2326632359487638,0.11552308432370972,0.06680584551148225,0.17057522123893804,2,7,1,0
0.4464285714285714,0.09642485212673896,0.37061344782669153,0.30062630480167013,0.4141592920353982,1,6,1,1
0.4285714285714286,0.21355796302953606,0.2084271625599643,0.13987473903966596,0.0657079646017699,0,2,1,0
0.8571428571428572,0.0,0.03960973265610865,0.6116910229645093,0.5088495575221238,0,1,1,0
0.07142857142857145,0.06250785350838817,0.3875122901341363,0.707724425887265,0.11261061946902655,2,3,1,0
0.6964285714285714,0.5227846393793254,0.3397833300330341,0.006263048016701461,0.5684734513274337,0,1,1,1
0.1964285714285714,0.4102821239480916,0.0,0.006263048016701461,0.4029867256637168,2,6,0,1
0.0892857142857143,0.4970554626571491,0.24612526035921342,0.8162839248434237,0.30265486725663715,2,5,0,0
0.5357142857142857,0.5092520632929024,0.056000017688948675,0.33402922755741127,0.396570796460177,2,7,1,0
0.9821428571428572,0.3823291390892651,0.0508188754840507,0.8455114822546972,0.24258849557522122,2,3,0,0
0.7321428571428572,0.2616973323749656,0.5639855952994567,0.6576200417536534,0.29834070796460177,2,2,1,0
0.7678571428571428,0.07862373218891777,0.22096862717543359,0.7849686847599164,0.1363938053097345,2,6,0,0
0.7142857142857142,0.46645929497745536,0.15378796552030816,0.38413361169102295,0.0948008849557522,0,1,0,0
0.7857142857142856,0.27428553406662814,0.2132405220401844,0.30271398747390393,0.16891592920353982,0,5,1,0
0.5178571428571428,0.705709924128272,0.3683703908618891,0.7223382045929018,0.3289823008849558,2,7,1,0
0.125,0.19798512626310522,0.05864770935484964,0.6325678496868475,0.6846238938053097,2,1,1,0
0.8392857142857142,0.6131678394454139,0.09220855860127586,0.569937369519833,0.1732300884955752,2,6,1,0
0.4464285714285714,0.2349763316833241,0.3256085858226025,0.36534446764091855,0.5530973451327433,2,4,0,1
0.5,0.5000759690421358,0.0,0.6137787056367432,0.34148230088495574,2,2,1,0
0.375,0.2616973323749656,0.39127389420731157,0.38830897703549055,0.30630530973451325,2,6,0,0
0.1785714285714286,0.08116327888778765,0.0,0.8914405010438412,0.1611725663716814,1,2,1,0
0.9285714285714286,0.1766931950987999,0.14824002331010347,0.7098121085594988,0.2924778761061947,1,5,0,0
0.7857142857142856,0.07938228609351702,0.0,0.3966597077244258,0.23174778761061943,0,5,1,0
0.6428571428571428,0.04440505940324487,0.0,0.5031315240083507,0.2649336283185841,2,5,1,0
0.3928571428571428,0.38127771902222907,0.45159222649322983,0.07098121085594988,0.2537610619469026,1,3,1,1
0.8214285714285714,0.22790208311446508,0.40182559777590954,0.8308977035490605,0.32798672566371684,2,7,1,0
0.5535714285714286,0.2721187648648401,0.422829258896927,0.4154488517745302,0.18053097345132743,1,5,1,1
0.4464285714285714,0.36159687139666474,0.0,0.22964509394572022,0.20995575221238935,2,5,1,0
0.4464285714285714,0.0,0.0,0.8308977035490605,0.38373893805309733,2,2,0,0
0.2142857142857143,0.4913243638010036,0.2633437321421464,0.6576200417536534,0.375,2,2,0,0
0.0892857142857143,0.2008271284845693,0.33713514700744757,0.07306889352818371,0.576216814159292,2,2,1,1
0.5535714285714286,0.3573637016294028,0.03940434430752433,0.267223382045929,0.04469026548672567,2,1,1,0
0.8928571428571428,0.3730461412308178,0.08276044888655439,0.45093945720250517,0.408075221238938,1,1,1,0
0.0535714285714286,0.5062465447226803,0.0,0.6283924843423799,0.345575221238938,0,4,0,0
0.8571428571428572,0.244198881056631,0.5224617709880605,0.8079331941544884,0.37035398230088495,1,3,1,0
0.8392857142857142,0.0,0.10319413277226608,0.36743215031315235,0.047787610619469026,1,4,1,0
0.2678571428571429,0.2729642623015331,0.2026942234281281,0.8100208768267223,0.616150442477876,2,1,1,0
0.6428571428571428,0.29846116341100787,0.212983786604454,0.7912317327766178,0.2742256637168141,2,1,1,0
0.1607142857142857,0.079154698612448,0.4138467124843195,0.3778705636743215,0.33196902654867255,0,7,1,0
0.7678571428571428,0.2890110265566319,0.009342467382315672,0.9373695198329853,0.09292035398230089,2,5,0,0
0.6964285714285714,0.19870958466492256,0.42615846644676686,0.9457202505219205,0.1827433628318584,2,7,1,0
0.3571428571428571,0.024372246743755176,0.0,0.290187891440501,0.17444690265486723,0,3,1,0
0.0535714285714286,0.3820622707476995,0.4256589993263459,0.55741127348643,0.47621681415929207,2,3,0,0
0.9821428571428572,0.16271276037687749,0.0,0.8705636743215031,0.5349557522123893,2,4,1,0
0.4464285714285714,0.19065438006811,0.17599398379200942,0.5386221294363256,0.2178097345132743,1,3,0,0
0.8928571428571428,0.1806744133069633,0.5160136578338211,0.7411273486430062,0.23982300884955748,1,1,1,0
0.6785714285714286,0.4822166736526932,0.33358531895876953,0.7995824634655532,0.275,1,5,1,0
0.7857142857142856,0.25555360690286183,0.27933650718932923,0.5657620041753653,0.2741150442477876,2,1,0,0
0.7678571428571428,0.2768661374334312,0.0,0.3590814196242171,0.15652654867256638,2,1,1,0
0.1964285714285714,0.1845710320488492,0.05212318976949826,0.5240083507306889,0.10464601769911504,1,4,0,0
0.3571428571428571,0.34501573116775747,0.4607767217366224,0.8329853862212943,0.5174778761061947,1,3,1,0
0.4642857142857143,0.502432394478148,0.2893794078034797,0.3194154488517745,0.2006637168141593,2,2,1,0
0.5,0.3778671032595798,0.37151681260868263,0.8455114822546972,0.48108407079646015,0,6,1,0
0.0357142857142857,0.38479381774660976,0.211047583763314,0.20250521920668058,0.1163716814159292,2,7,0,0
0.5535714285714286,0.3704743458689001,0.14117132287294076,0.4613778705636743,0.19126106194690262,1,4,1,0
0.14285714285714285,0.017714957760999482,0.34722644655063045,0.08350730688935282,0.35597345132743363,2,3,0,0
0.75,0.10723767257563038,0.24751801938807047,0.5031315240083507,0.26537610619469026,2,2,0,0
0.6785714285714286,0.22641772119439674,0.16313927737696476,0.7118997912317327,0.20265486725663714,2,6,1,0
0.9285714285714286,0.13392003169745242,0.0,0.11691022964509393,0.529867256637168,0,2,0,0
0.75,0.07377819298523389,0.38402879564301545,0.22129436325678495,0.11736725663716814,1,5,0,0
0.3571428571428571,0.0,0.2830283381871481,0.5281837160751566,0.2670353982300885,2,3,1,0
0.9821428571428572,0.023701843920306602,0.07738669368489791,0.4947807933194154,0.3440265486725664,2,1,1,1
0.4107142857142857,0.2172654937955774,0.4283187293045443,0.11273486430062629,0.3717920353982301,1,5,1,0
0.3214285714285714,0.2504907088689435,0.24446372758232854,0.8914405010438412,0.47876106194690266,1,4,0,0
0.9107142857142856,0.12198845256353075,0.24831328503922767,0.4613778705636743,0.21880530973451326,1,3,1,0
0.375,0.2768350963194402,0.3702680219677088,0.6722338204592901,0.2674778761061947,2,5,1,0
0.07142857142857145,0.185779007299492,0.32797399134912136,0.7536534446764092,0.2495575221238938,1,4,1,0
0.4642857142857143,0.4564843715094285,0.25426389651178843,0.16910229645093944,0.49446902654867253,2,6,1,0
0.8035714285714286,0.234117906368493,0.15947864771918205,0.33402922755741127,0.1712389380530973,1,1,1,0
0.1785714285714286,0.38647444190456626,0.5864208328644943,0.7348643006263047,0.4728982300884956,0,4,1,0
0.4642857142857143,0.29890632281920365,0.05231973364374162,0.5031315240083507,0.12732300884955752,0,3,0,0
0.125,0.013838654256187778,0.34315995379253517,0.21503131524008348,0.1200221238938053,2,3,1,0
0.6964285714285714,0.24672038555194548,0.18006195062916153,0.3194154488517745,0.16227876106194689,2,2,1,0
0.4821428571428571,0.043396471811578595,0.28591507634009755,0.7807933194154488,0.4007743362831858,2,4,1,0
0.3214285714285714,0.2616973323749656,0.43896575665215026,0.34446764091858034,0.21084070796460175,1,5,0,0
0.2142857142857143,0.1304986190255889,0.13530497958646187,0.07724425887265135,0.12920353982300883,1,6,0,1
0.5714285714285714,0.33064880971534305,0.3148311024784674,0.49686847599164924,0.18517699115044245,0,3,1,1
0.6785714285714286,0.02444320800891995,0.24873757412775055,0.14196242171189977,0.20586283185840706,1,2,1,1
0.9464285714285714,0.2654302927034985,0.07050004201125312,0.5949895615866387,0.34303097345132744,0,5,0,0
0.4285714285714286,0.36446948853833505,0.4438154767491054,0.9352818371607514,0.3126106194690265,2,3,1,0
0.1607142857142857,0.42399100219681585,0.19969778922536655,0.10020876826722337,0.4452433628318584,0,3,1,1
0.8392857142857142,0.12711804992476616,0.11113573369091215,0.2797494780793319,0.4228982300884956,2,4,1,0
0.625,0.26597170087475563,0.4134484654591339,0.5657620041753653,0.20486725663716812,2,5,1,0
0.6964285714285714,0.2955204262960713,0.033133366319946886,0.15031315240083507,0.01969026548672566,2,4,1,0
0.0892857142857143,0.5375593572514705,0.19085712292197848,0.534446764091858,0.2363938053097345,2,1,1,0
0.3035714285714286,0.0,0.11218257550110089,0.21503131524008348,0.3819690265486726,2,7,0,0
0.7678571428571428,0.10102525887188069,0.34420974376083757,0.6367432150313151,0.25785398230088497,2,5,1,0
0.8392857142857142,0.7608380191564161,0.10226497160678057,0.3611691022964509,0.1652654867256637,0,7,0,0
0.4285714285714286,0.21432269674401444,0.34561896333916253,0.9269311064718162,0.29767699115044244,0,7,0,0
